U-Net Attention Matriks
Metric,Mean,Std
Dice Coefficient,0.770811011393865,0.02778114324173191
IoU,0.6279036402702332,0.036045217402273254
Precision,0.7291434208552042,0.048504050472035196
Recall,0.8306548297405243,0.09083769325120566
Specificity,0.8826550344626108,0.059241673307646125
F2-Score,0.8041995371206417,0.06312496578213769
Accuracy,0.8680038452148438,0.044510104562786645
