U-Net Baseline Metrik
Metric,Mean,Std
Dice Coefficient,0.7767479121685028,0.02192127274629115
IoU,0.6355050603548685,0.02896747359926371
Precision,0.7549567321936289,0.06167919827307914
Recall,0.8136313855648041,0.08511923359757256
Specificity,0.9061601161956787,0.03405527270391543
F2-Score,0.7968196967911515,0.05565108049062059
Accuracy,0.8763529459635416,0.037070189528177006
