Model Comparison
Metric,U-Net Baseline_Mean,U-Net Baseline_Std,U-Net Attention_Mean,U-Net Attention_Std,Difference,Improvement_%
Dice Coefficient,0.7767479121685028,0.02192127274629115,0.770811011393865,0.02778114324173191,-0.005936900774637821,-0.7643278702949261
IoU,0.6355050603548685,0.02896747359926371,0.6279036402702332,0.036045217402273254,-0.00760142008463538,-1.1961226682271762
Precision,0.7549567321936289,0.06167919827307914,0.7291434208552042,0.048504050472035196,-0.025813311338424683,-3.419177581663603
Recall,0.8136313855648041,0.08511923359757256,0.8306548297405243,0.09083769325120566,0.017023444175720215,2.0922796831273827
Specificity,0.9061601161956787,0.03405527270391543,0.8826550344626108,0.059241673307646125,-0.023505081733067867,-2.5939214618878808
F2-Score,0.7968196967911515,0.05565108049062059,0.8041995371206417,0.06312496578213769,0.007379840329490239,0.9261618857075662
Accuracy,0.8763529459635416,0.037070189528177006,0.8680038452148438,0.044510104562786645,-0.00834910074869788,-0.9527098399284917
